"Name.i"	"Name.j"	"Source_patch"	"Target_patch"	"Sex.i"	"Sex.j"	"Fij"	"Management"	"Roads"	"Resistance_based_distance"	"Euclidean_distance"	"Landscape_resistance"	"Landscape_connectivity"
"AE100"	"SGLT34"	100	603	"M"	"M"	-0.10648	"12"	"0"	27134.7	18088.5882533712	408.3	44.302199983765
"AE100"	"SGLT35"	100	603	"M"	"M"	-0.236318	"12"	"0"	27134.7	18088.5882533712	408.3	44.302199983765
"AE100"	"UGLT130"	100	705	"M"	"M"	-0.024488	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT131"	100	705	"M"	"M"	-0.190003	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT132"	100	700	"M"	"F"	0.084337	"23"	"1"	79079.5	48996.7348401911	519.45	94.3242561174148
"AE100"	"UGLT133"	100	700	"M"	"M"	-0.020614	"23"	"1"	79079.5	48996.7348401911	519.45	94.3242561174148
"AE100"	"UGLT134"	100	700	"M"	"F"	0.049593	"23"	"1"	79079.5	48996.7348401911	519.45	94.3242561174148
"AE100"	"UGLT135"	100	705	"M"	"M"	-0.017918	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT136"	100	705	"M"	"F"	-0.263254	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT137"	100	705	"M"	"F"	-0.187707	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT138"	100	705	"M"	"M"	-0.237618	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT139"	100	705	"M"	"M"	-0.182609	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT140"	100	705	"M"	"M"	-0.245351	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
"AE100"	"UGLT141"	100	705	"M"	"F"	-0.134639	"23"	"1"	79548.1	49371.0211055028	524.15	94.1925424124826
